GEOID,NAME,Total,Hispanic,White,Black,AmerInd,Asian,PacIsl,Other,Multiracial,White_per,Black_per,Hispanic_per,Asian_per
13009,"Baldwin County, Georgia",43799,1139,22432,18318,64,599,27,193,1027,51.21578118221877,41.82287266832576,2.6005159935158337,1.367611132674262
13015,"Bartow County, Georgia",108901,10751,80159,11309,254,1169,40,466,4753,73.60722123763786,10.384661297876052,9.872269308821775,1.0734520344165803
13019,"Berrien County, Georgia",18160,1045,14396,1934,22,80,10,62,611,79.27312775330397,10.64977973568282,5.754405286343613,0.4405286343612335
13025,"Brantley County, Georgia",18021,326,16317,562,45,42,3,34,692,90.54436490760779,3.118583874368792,1.809000610398979,0.2330614283336108
13031,"Bulloch County, Georgia",81099,4180,49712,22775,159,1283,62,249,2679,61.29791982638504,28.0829603324332,5.154194256402668,1.5820170409006276
13037,"Calhoun County, Georgia",5573,149,1766,3569,8,19,0,1,61,31.688498115916026,64.0409115377714,2.6736048806746813,0.3409294814283151
13043,"Candler County, Georgia",10981,1378,6567,2681,19,63,3,26,244,59.80329660322376,24.41489846097805,12.548948183225573,0.5737182405973955
13049,"Charlton County, Georgia",12518,2036,7532,2386,40,109,2,30,383,60.16935612717687,19.060552803962295,16.264579006231028,0.870746125579166
13055,"Chattooga County, Georgia",24965,1297,20079,2391,45,102,0,81,970,80.42860004005607,9.57740837172041,5.19527338273583,0.4085720008011216
13061,"Clay County, Georgia",2848,41,1143,1593,1,6,0,7,57,40.133426966292134,55.93398876404494,1.4396067415730338,0.21067415730337077
13065,"Clinch County, Georgia",6749,253,4256,1950,30,22,7,31,200,63.06119425100015,28.89316935842347,3.748703511631353,0.32597421840272633
13071,"Colquitt County, Georgia",45898,8709,25588,9995,83,388,15,106,1014,55.749705869536804,21.776547997734106,18.974682992722993,0.8453527386814241
13077,"Coweta County, Georgia",146158,11053,99421,25544,298,3329,62,669,5782,68.02296145267451,17.476976970128216,7.5623640170226745,2.2776721082663967
