GEOID,County,Tract,MedHHInc,moe
13057090100,Cherokee County,Census Tract 901,74284,6765
13057090200,Cherokee County,Census Tract 902,89522,19169
13057090300,Cherokee County,Census Tract 903,84120,5847
13057090400,Cherokee County,Census Tract 904,46118,6363
13057090501,Cherokee County,Census Tract 905.01,91726,18477
13057090502,Cherokee County,Census Tract 905.02,126988,11467
13057090601,Cherokee County,Census Tract 906.01,54676,6872
13057090602,Cherokee County,Census Tract 906.02,70282,14906
13057090701,Cherokee County,Census Tract 907.01,90392,12170
13057090702,Cherokee County,Census Tract 907.02,72299,9468
13057090802,Cherokee County,Census Tract 908.02,100536,7599
13057090803,Cherokee County,Census Tract 908.03,103239,11734
13057090804,Cherokee County,Census Tract 908.04,97135,15456
13057090901,Cherokee County,Census Tract 909.01,105368,7997
13057090902,Cherokee County,Census Tract 909.02,90045,14096
13057090904,Cherokee County,Census Tract 909.04,64873,21301
13057090905,Cherokee County,Census Tract 909.05,63723,9518
13057091001,Cherokee County,Census Tract 910.01,53031,8003
13057091003,Cherokee County,Census Tract 910.03,50705,11139
13057091005,Cherokee County,Census Tract 910.05,66288,18254
13057091006,Cherokee County,Census Tract 910.06,111574,6600
13057091007,Cherokee County,Census Tract 910.07,103387,13375
13057091008,Cherokee County,Census Tract 910.08,91549,6592
13057091101,Cherokee County,Census Tract 911.01,88310,8401
13057091102,Cherokee County,Census Tract 911.02,74137,7723
13057091103,Cherokee County,Census Tract 911.03,73997,13542
13063040202,Clayton County,Census Tract 402.02,33276,7894
13063040203,Clayton County,Census Tract 402.03,39656,5392
13063040204,Clayton County,Census Tract 402.04,42169,4263
13063040302,Clayton County,Census Tract 403.02,35301,3801
13063040303,Clayton County,Census Tract 403.03,38023,9440
13063040306,Clayton County,Census Tract 403.06,35434,16467
13063040307,Clayton County,Census Tract 403.07,41083,16154
13063040308,Clayton County,Census Tract 403.08,28422,3428
13063040407,Clayton County,Census Tract 404.07,49271,3289
13063040408,Clayton County,Census Tract 404.08,44551,9382
13063040409,Clayton County,Census Tract 404.09,49519,5770
13063040410,Clayton County,Census Tract 404.10,49719,13336
13063040411,Clayton County,Census Tract 404.11,57924,10019
13063040412,Clayton County,Census Tract 404.12,46530,12716
13063040413,Clayton County,Census Tract 404.13,54265,10320
13063040414,Clayton County,Census Tract 404.14,40313,8257
13063040415,Clayton County,Census Tract 404.15,31851,7472
13063040416,Clayton County,Census Tract 404.16,53750,14163
13063040417,Clayton County,Census Tract 404.17,40231,5192
13063040509,Clayton County,Census Tract 405.09,64849,6209
13063040510,Clayton County,Census Tract 405.10,49265,14429
13063040512,Clayton County,Census Tract 405.12,41016,10897
13063040513,Clayton County,Census Tract 405.13,63980,13608
13063040514,Clayton County,Census Tract 405.14,43905,2526
13063040515,Clayton County,Census Tract 405.15,38977,10316
13063040516,Clayton County,Census Tract 405.16,56328,8377
13063040518,Clayton County,Census Tract 405.18,43841,5081
13063040519,Clayton County,Census Tract 405.19,33934,2626
13063040520,Clayton County,Census Tract 405.20,37731,3408
13063040521,Clayton County,Census Tract 405.21,45682,15502
13063040522,Clayton County,Census Tract 405.22,38917,3998
